Windows System Service Dispatch Table (SSDT)
KernelBase: 0xFFFFF804A9800000

=== KeServiceDescriptorTable ===
  RVA: 0x12018C0  PhysicalAddr: 0xFFFFF804AAA018C0
┌─────┬───────────────────────────────────────────────────────┬───────┬────────────────────┐
│ Id  │                         Name                          │ Index │    PhysicalAddr    │
│ 215 │ NtDebugActiveProcess                                  │ 0xD6  │ 0xFFFFF804A9800000 │
│ 216 │ NtDebugContinue                                       │ 0xD7  │ 0xFFFFF804A9800000 │
│ 217 │ NtDeleteAtom                                          │ 0xD8  │ 0xFFFFF804A9800000 │
│ 218 │ NtDeleteBootEntry                                     │ 0xD9  │ 0xFFFFF804A9800000 │
│ 219 │ NtDeleteDriverEntry                                   │ 0xDA  │ 0xFFFFF804A9800000 │
│ 220 │ NtDeleteFile                                          │ 0xDB  │ 0xFFFFF804A9800000 │
│ 221 │ NtDeleteKey                                           │ 0xDC  │ 0xFFFFF804A9800000 │
│ 222 │ NtDeleteObjectAuditAlarm                              │ 0xDD  │ 0xFFFFF804A9800000 │
│ 223 │ NtDeletePrivateNamespace                              │ 0xDE  │ 0xFFFFF804A9800000 │
│ 224 │ NtDeleteValueKey                                      │ 0xDF  │ 0xFFFFF804A9800000 │
│ 225 │ NtDeleteWnfStateData                                  │ 0xE0  │ 0xFFFFF804A9800000 │
│ 226 │ NtDeleteWnfStateName                                  │ 0xE1  │ 0xFFFFF804A9800000 │
│ 227 │ NtDirectGraphicsCall                                  │ 0xE2  │ 0xFFFFF804A9800000 │
│ 228 │ NtDisableLastKnownGood                                │ 0xE3  │ 0xFFFFF804A9800000 │
│ 229 │ NtDisplayString                                       │ 0xE4  │ 0xFFFFF804A9800000 │
│ 230 │ NtDrawText                                            │ 0xE5  │ 0xFFFFF804A9800000 │
│ 231 │ NtEnableLastKnownGood                                 │ 0xE6  │ 0xFFFFF804A9800000 │
│ 232 │ NtEnumerateBootEntries                                │ 0xE7  │ 0xFFFFF804A9800000 │
│ 233 │ NtEnumerateDriverEntries                              │ 0xE8  │ 0xFFFFF804A9800000 │
│ 234 │ NtEnumerateSystemEnvironmentValuesEx                  │ 0xE9  │ 0xFFFFF804A9800000 │
│ 235 │ NtEnumerateTransactionObject                          │ 0xEA  │ 0xFFFFF804A9800000 │
│ 236 │ NtExtendSection                                       │ 0xEB  │ 0xFFFFF804A9800000 │
│ 237 │ NtFilterBootOption                                    │ 0xEC  │ 0xFFFFF804A9800000 │
│ 238 │ NtFilterToken                                         │ 0xED  │ 0xFFFFF804A9800000 │
│ 239 │ NtFilterTokenEx                                       │ 0xEE  │ 0xFFFFF804A9800000 │
│ 240 │ NtFlushBuffersFileEx                                  │ 0xEF  │ 0xFFFFF804A9800000 │
│ 241 │ NtFlushInstallUILanguage                              │ 0xF0  │ 0xFFFFF804A9800000 │
│ 242 │ NtFlushInstructionCache                               │ 0xF1  │ 0xFFFFF804A9800000 │
│ 243 │ NtFlushKey                                            │ 0xF2  │ 0xFFFFF804A9800000 │
│ 244 │ NtFlushProcessWriteBuffers                            │ 0xF3  │ 0xFFFFF804A9800000 │
│ 245 │ NtFlushVirtualMemory                                  │ 0xF4  │ 0xFFFFF804A9800000 │
│ 246 │ NtFlushWriteBuffer                                    │ 0xF5  │ 0xFFFFF804A9800000 │
│ 247 │ NtFreeUserPhysicalPages                               │ 0xF6  │ 0xFFFFF804A9800000 │
│ 248 │ NtFreezeRegistry                                      │ 0xF7  │ 0xFFFFF804A9800000 │
│ 249 │ NtFreezeTransactions                                  │ 0xF8  │ 0xFFFFF804A9800000 │
│ 250 │ NtGetCachedSigningLevel                               │ 0xF9  │ 0xFFFFF804A9800000 │
│ 251 │ NtGetCompleteWnfStateSubscription                     │ 0xFA  │ 0xFFFFF804A9800000 │
│ 252 │ NtGetContextThread                                    │ 0xFB  │ 0xFFFFF804A9800000 │
│ 253 │ NtGetCurrentProcessorNumber                           │ 0xFC  │ 0xFFFFF804A9800000 │
│ 254 │ NtGetCurrentProcessorNumberEx                         │ 0xFD  │ 0xFFFFF804A9800000 │
│ 255 │ NtGetDevicePowerState                                 │ 0xFE  │ 0xFFFFF804A9800000 │
│ 256 │ NtGetMUIRegistryInfo                                  │ 0xFF  │ 0xFFFFF804A9800000 │
